StateFIPS,State,Year,Value,Data Comment,,Pollutant
08,Colorado,2018,0.01,,,"Pollutant: 1,3-butadiene"
09,Connecticut,2005,1.2,,,Pollutant: Benzene
09,Connecticut,2005,1.79,,,Pollutant: Formaldehyde
09,Connecticut,2005,1.71,,,Pollutant: Acetaldehyde
09,Connecticut,2005,0.61,,,Pollutant: Carbon tetrachloride
09,Connecticut,2005,0.07,,,"Pollutant: 1,3-butadiene"
09,Connecticut,2011,0.86,,,Pollutant: Benzene
09,Connecticut,2011,1.34,,,Pollutant: Formaldehyde
09,Connecticut,2011,1.53,,,Pollutant: Acetaldehyde
09,Connecticut,2011,0.55,,,Pollutant: Carbon tetrachloride
09,Connecticut,2011,0.08,,,"Pollutant: 1,3-butadiene"
09,Connecticut,2014,0.47,,,Pollutant: Benzene
09,Connecticut,2014,1,,,Pollutant: Formaldehyde
09,Connecticut,2014,0.79,,,Pollutant: Acetaldehyde
09,Connecticut,2014,0.55,,,Pollutant: Carbon tetrachloride
09,Connecticut,2014,0.03,,,"Pollutant: 1,3-butadiene"
09,Connecticut,2017,0.29,,,Pollutant: Benzene
09,Connecticut,2017,0.99,,,Pollutant: Formaldehyde
09,Connecticut,2017,0.77,,,Pollutant: Acetaldehyde
09,Connecticut,2017,0.52,,,Pollutant: Carbon tetrachloride
09,Connecticut,2018,0.28,,,Pollutant: Benzene
09,Connecticut,2018,0.89,,,Pollutant: Formaldehyde
09,Connecticut,2018,0.62,,,Pollutant: Acetaldehyde
09,Connecticut,2018,0.38,,,Pollutant: Carbon tetrachloride
09,Connecticut,2018,0.01,,,"Pollutant: 1,3-butadiene"
10,Delaware,2005,0.63,,,Pollutant: Benzene
10,Delaware,2005,1.83,,,Pollutant: Formaldehyde
10,Delaware,2005,1.67,,,Pollutant: Acetaldehyde
10,Delaware,2005,0.61,,,Pollutant: Carbon tetrachloride
10,Delaware,2005,0.06,,,"Pollutant: 1,3-butadiene"
10,Delaware,2011,0.69,,,Pollutant: Benzene
10,Delaware,2011,1.38,,,Pollutant: Formaldehyde
10,Delaware,2011,1.8,,,Pollutant: Acetaldehyde
10,Delaware,2011,0.55,,,Pollutant: Carbon tetrachloride
10,Delaware,2011,0.06,,,"Pollutant: 1,3-butadiene"
10,Delaware,2014,0.41,,,Pollutant: Benzene
10,Delaware,2014,1.13,,,Pollutant: Formaldehyde
10,Delaware,2014,0.88,,,Pollutant: Acetaldehyde
10,Delaware,2014,0.55,,,Pollutant: Carbon tetrachloride
10,Delaware,2014,0.03,,,"Pollutant: 1,3-butadiene"
10,Delaware,2017,0.25,,,Pollutant: Benzene
10,Delaware,2017,1.06,,,Pollutant: Formaldehyde
10,Delaware,2017,0.78,,,Pollutant: Acetaldehyde
10,Delaware,2017,0.52,,,Pollutant: Carbon tetrachloride
10,Delaware,2018,0.25,,,Pollutant: Benzene
10,Delaware,2018,0.91,,,Pollutant: Formaldehyde
10,Delaware,2018,0.63,,,Pollutant: Acetaldehyde
10,Delaware,2018,0.38,,,Pollutant: Carbon tetrachloride
10,Delaware,2018,0.01,,,"Pollutant: 1,3-butadiene"
11,District of Columbia,2005,1.87,,,Pollutant: Benzene
11,District of Columbia,2005,3.16,,,Pollutant: Formaldehyde
11,District of Columbia,2005,2.44,,,Pollutant: Acetaldehyde
11,District of Columbia,2005,0.61,,,Pollutant: Carbon tetrachloride
11,District of Columbia,2005,0.16,,,"Pollutant: 1,3-butadiene"
11,District of Columbia,2011,1.2,,,Pollutant: Benzene
11,District of Columbia,2011,2.35,,,Pollutant: Formaldehyde
11,District of Columbia,2011,2.54,,,Pollutant: Acetaldehyde
11,District of Columbia,2011,0.55,,,Pollutant: Carbon tetrachloride
11,District of Columbia,2011,0.14,,,"Pollutant: 1,3-butadiene"
11,District of Columbia,2014,0.74,,,Pollutant: Benzene
11,District of Columbia,2014,1.69,,,Pollutant: Formaldehyde
11,District of Columbia,2014,1.23,,,Pollutant: Acetaldehyde
11,District of Columbia,2014,0.55,,,Pollutant: Carbon tetrachloride
11,District of Columbia,2014,0.08,,,"Pollutant: 1,3-butadiene"
11,District of Columbia,2017,0.48,,,Pollutant: Benzene
11,District of Columbia,2017,1.59,,,Pollutant: Formaldehyde
11,District of Columbia,2017,1.13,,,Pollutant: Acetaldehyde
11,District of Columbia,2017,0.52,,,Pollutant: Carbon tetrachloride
11,District of Columbia,2018,0.46,,,Pollutant: Benzene
11,District of Columbia,2018,1.45,,,Pollutant: Formaldehyde
11,District of Columbia,2018,0.98,,,Pollutant: Acetaldehyde
11,District of Columbia,2018,0.38,,,Pollutant: Carbon tetrachloride
11,District of Columbia,2018,0.04,,,"Pollutant: 1,3-butadiene"
12,Florida,2005,1.08,,,Pollutant: Benzene
12,Florida,2005,2.02,,,Pollutant: Formaldehyde
12,Florida,2005,1.74,,,Pollutant: Acetaldehyde
12,Florida,2005,0.61,,,Pollutant: Carbon tetrachloride
12,Florida,2005,0.07,,,"Pollutant: 1,3-butadiene"
12,Florida,2011,0.53,,,Pollutant: Benzene
12,Florida,2011,1.61,,,Pollutant: Formaldehyde
12,Florida,2011,2.07,,,Pollutant: Acetaldehyde
12,Florida,2011,0.55,,,Pollutant: Carbon tetrachloride
12,Florida,2011,0.05,,,"Pollutant: 1,3-butadiene"
12,Florida,2014,0.35,,,Pollutant: Benzene
12,Florida,2014,1.65,,,Pollutant: Formaldehyde
12,Florida,2014,1.34,,,Pollutant: Acetaldehyde
12,Florida,2014,0.53,,,Pollutant: Carbon tetrachloride
12,Florida,2014,0.03,,,"Pollutant: 1,3-butadiene"
12,Florida,2017,0.17,,,Pollutant: Benzene
12,Florida,2017,1.38,,,Pollutant: Formaldehyde
12,Florida,2017,1.03,,,Pollutant: Acetaldehyde
12,Florida,2017,0.5,,,Pollutant: Carbon tetrachloride
12,Florida,2018,0.15,,,Pollutant: Benzene
12,Florida,2018,1.27,,,Pollutant: Formaldehyde
12,Florida,2018,0.92,,,Pollutant: Acetaldehyde
12,Florida,2018,0.37,,,Pollutant: Carbon tetrachloride
12,Florida,2018,0.01,,,"Pollutant: 1,3-butadiene"
13,Georgia,2005,0.81,,,Pollutant: Benzene
13,Georgia,2005,2.73,,,Pollutant: Formaldehyde
13,Georgia,2005,2.73,,,Pollutant: Acetaldehyde
13,Georgia,2005,0.61,,,Pollutant: Carbon tetrachloride
13,Georgia,2005,0.05,,,"Pollutant: 1,3-butadiene"
13,Georgia,2011,0.55,,,Pollutant: Benzene
13,Georgia,2011,2.34,,,Pollutant: Formaldehyde
13,Georgia,2011,3.12,,,Pollutant: Acetaldehyde
13,Georgia,2011,0.55,,,Pollutant: Carbon tetrachloride
13,Georgia,2011,0.05,,,"Pollutant: 1,3-butadiene"
13,Georgia,2014,0.32,,,Pollutant: Benzene
13,Georgia,2014,2.05,,,Pollutant: Formaldehyde
13,Georgia,2014,1.95,,,Pollutant: Acetaldehyde
13,Georgia,2014,0.53,,,Pollutant: Carbon tetrachloride
13,Georgia,2014,0.02,,,"Pollutant: 1,3-butadiene"
13,Georgia,2017,0.19,,,Pollutant: Benzene
13,Georgia,2017,1.67,,,Pollutant: Formaldehyde
13,Georgia,2017,1.31,,,Pollutant: Acetaldehyde
13,Georgia,2017,0.5,,,Pollutant: Carbon tetrachloride
13,Georgia,2018,0.17,,,Pollutant: Benzene
13,Georgia,2018,1.49,,,Pollutant: Formaldehyde
13,Georgia,2018,1.19,,,Pollutant: Acetaldehyde
13,Georgia,2018,0.37,,,Pollutant: Carbon tetrachloride
13,Georgia,2018,0.01,,,"Pollutant: 1,3-butadiene"
15,Hawaii,2005,0.76,,,Pollutant: Benzene
15,Hawaii,2005,1.08,,,Pollutant: Formaldehyde
15,Hawaii,2005,1.13,,,Pollutant: Acetaldehyde
15,Hawaii,2005,0.61,,,Pollutant: Carbon tetrachloride
15,Hawaii,2005,0.06,,,"Pollutant: 1,3-butadiene"
15,Hawaii,2011,0.42,,,Pollutant: Benzene
15,Hawaii,2011,0.14,,,Pollutant: Formaldehyde
15,Hawaii,2011,0.08,,,Pollutant: Acetaldehyde
15,Hawaii,2011,0.55,,,Pollutant: Carbon tetrachloride
15,Hawaii,2011,0.04,,,"Pollutant: 1,3-butadiene"
15,Hawaii,2014,0.27,,,Pollutant: Benzene
15,Hawaii,2014,0.33,,,Pollutant: Formaldehyde
15,Hawaii,2014,0.28,,,Pollutant: Acetaldehyde
15,Hawaii,2014,0.53,,,Pollutant: Carbon tetrachloride
15,Hawaii,2014,0.02,,,"Pollutant: 1,3-butadiene"
15,Hawaii,2017,0.13,,,Pollutant: Benzene
15,Hawaii,2017,0.5,,,Pollutant: Formaldehyde
15,Hawaii,2017,0.3,,,Pollutant: Acetaldehyde
15,Hawaii,2017,0.53,,,Pollutant: Carbon tetrachloride
15,Hawaii,2018,0.02,,,Pollutant: Benzene
15,Hawaii,2018,0.62,,,Pollutant: Formaldehyde
15,Hawaii,2018,0.33,,,Pollutant: Acetaldehyde
15,Hawaii,2018,0.35,,,Pollutant: Carbon tetrachloride
15,Hawaii,2018,0,,,"Pollutant: 1,3-butadiene"
16,Idaho,2005,0.79,,,Pollutant: Benzene
16,Idaho,2005,1.3,,,Pollutant: Formaldehyde
16,Idaho,2005,1.38,,,Pollutant: Acetaldehyde
16,Idaho,2005,0.61,,,Pollutant: Carbon tetrachloride
16,Idaho,2005,0.03,,,"Pollutant: 1,3-butadiene"
16,Idaho,2011,0.55,,,Pollutant: Benzene
16,Idaho,2011,1.26,,,Pollutant: Formaldehyde
16,Idaho,2011,1.38,,,Pollutant: Acetaldehyde
16,Idaho,2011,0.55,,,Pollutant: Carbon tetrachloride
16,Idaho,2011,0.06,,,"Pollutant: 1,3-butadiene"
16,Idaho,2014,0.21,,,Pollutant: Benzene
16,Idaho,2014,0.97,,,Pollutant: Formaldehyde
16,Idaho,2014,0.95,,,Pollutant: Acetaldehyde
16,Idaho,2014,0.49,,,Pollutant: Carbon tetrachloride
16,Idaho,2014,0.02,,,"Pollutant: 1,3-butadiene"
16,Idaho,2017,0.12,,,Pollutant: Benzene
16,Idaho,2017,0.76,,,Pollutant: Formaldehyde
16,Idaho,2017,0.68,,,Pollutant: Acetaldehyde
16,Idaho,2017,0.45,,,Pollutant: Carbon tetrachloride
16,Idaho,2018,0.11,,,Pollutant: Benzene
16,Idaho,2018,0.64,,,Pollutant: Formaldehyde
16,Idaho,2018,0.54,,,Pollutant: Acetaldehyde
16,Idaho,2018,0.33,,,Pollutant: Carbon tetrachloride
16,Idaho,2018,0.01,,,"Pollutant: 1,3-butadiene"
17,Illinois,2005,0.87,,,Pollutant: Benzene
17,Illinois,2005,1.92,,,Pollutant: Formaldehyde
17,Illinois,2005,1.83,,,Pollutant: Acetaldehyde
17,Illinois,2005,0.61,,,Pollutant: Carbon tetrachloride
17,Illinois,2005,0.07,,,"Pollutant: 1,3-butadiene"
17,Illinois,2011,0.66,,,Pollutant: Benzene
17,Illinois,2011,1.34,,,Pollutant: Formaldehyde
17,Illinois,2011,1.79,,,Pollutant: Acetaldehyde
17,Illinois,2011,0.55,,,Pollutant: Carbon tetrachloride
17,Illinois,2011,0.06,,,"Pollutant: 1,3-butadiene"
17,Illinois,2014,0.43,,,Pollutant: Benzene
17,Illinois,2014,1.1,,,Pollutant: Formaldehyde
17,Illinois,2014,0.88,,,Pollutant: Acetaldehyde
17,Illinois,2014,0.54,,,Pollutant: Carbon tetrachloride
17,Illinois,2014,0.03,,,"Pollutant: 1,3-butadiene"
17,Illinois,2017,0.2,,,Pollutant: Benzene
17,Illinois,2017,1.01,,,Pollutant: Formaldehyde
17,Illinois,2017,0.76,,,Pollutant: Acetaldehyde
