Title,index,Author,Type of Ban,Secondary Author(s),Illustrator(s),Translator(s),State,District,Date of Challenge/Removal,Origin of Challenge,Rating,Number of Reviews
My Name Is Sally Little Song,2495,"Woods, Brenda",Banned Pending Investigation,nan,nan,nan,Florida,Duval County Public Schools,January 2022,Administrator,3.98,328.0
My Papi Has a Motorcycle,1901,"Quintero, Isabel",Banned in Classrooms,nan,"Peña, Zeke",nan,Pennsylvania,Central York School District,August 2021,Administrator,4.34,3038.0
My Princess Boy,1203,"Kilodavis, Cheryl",Banned in Libraries and Classrooms,nan,"DeSimone, Suzanne",nan,Florida,Broward County Public Schools,June 2022,Administrator,3.83,1429.0
My Sister's Keeper,1849,"Picoult, Jodi",Banned Pending Investigation,nan,nan,nan,Florida,Indian River County School District,November 2021,Administrator,4.1,1220130.0
My Sister's Keeper,1850,"Picoult, Jodi",Banned Pending Investigation,nan,nan,nan,Tennessee,Hamilton County Schools,October 2021,Administrator,4.1,1220130.0
My Two Dads and Me,1122,"Joosten, Michael",Banned Pending Investigation,nan,"Zenou, Izak",nan,Florida,Duval County Public Schools,January 2022,Administrator,3.97,119.0
My Two Moms and Me,1123,"Joosten, Michael",Banned Pending Investigation,nan,"Zenou, Izak",nan,Florida,Duval County Public Schools,January 2022,Administrator,3.98,158.0
My Whole Truth,2364,"Thrace, Mischa",Banned Pending Investigation,nan,nan,nan,Tennessee,Collierville Schools,February 2022,Administrator,3.89,580.0
Nadia's Hands,613,"English, Karen",Banned Pending Investigation,nan,"Weiner, Jonathan",nan,Florida,Duval County Public Schools,January 2022,Administrator,3.91,179.0
Narrative of the Life of Frederick Douglass,562,"Douglass, Frederick",Banned in Libraries and Classrooms,nan,nan,nan,Oklahoma,Edmond Public Schools,October 2021,Administrator,4.11,123978.0
Nate Expectations,670,"Federle, Tim",Banned Pending Investigation,nan,nan,nan,Texas,North East Independent School District,December 2021,Administrator,4.22,580.0
Neanderthal Opens the Door to the Universe,1732,"Norton, Preston",Banned in Libraries and Classrooms,nan,nan,nan,Wisconsin,Chippewa Falls Area Unified School District,June 2022,Formal Challenge,4.24,3705.0
Neither,70,"Anderson, Airlie",Banned Pending Investigation,nan,nan,nan,Florida,Duval County Public Schools,January 2022,Administrator,3.86,74745.0
Nelson Beats The Odds,2141,"Sidney II, Ronnie",Banned in Classrooms,nan,"Van Wagoner, Traci",nan,Pennsylvania,Central York School District,August 2021,Administrator,4.37,115.0
Nelson Mandela,1712,"Nelson, Kadir",Banned in Classrooms,nan,nan,nan,Pennsylvania,Central York School District,August 2021,Administrator,4.35,87115.0
Never Say a Mean Word Again: A Tale from Medieval Spain,1138,"Jules, Jacqueline",Banned Pending Investigation,nan,"Bernhard, Durga Yael",nan,Florida,Duval County Public Schools,January 2022,Administrator,3.94,142.0
New Kid,460,"Craft, Jerry",Banned in Classrooms,nan,nan,nan,Pennsylvania,Central York School District,August 2021,Administrator,4.16,55953.0
New Kid,461,"Craft, Jerry",Banned Pending Investigation,nan,nan,nan,Texas,Granbury Independent School District,January 2022,Administrator,4.16,55953.0
New Kid,462,"Craft, Jerry",Banned in Libraries,nan,nan,nan,Texas,Katy Independent School District,September 2021,Administrator,4.16,55953.0
New Kid,463,"Craft, Jerry",Banned Pending Investigation,nan,nan,nan,Texas,North East Independent School District,December 2021,Administrator,4.16,55953.0
Night,2469,"Wiesel, Elie",Banned in Classrooms,nan,nan,"Wiesel, Marion",North Carolina,Pitt County Schools,November 2021,Administrator,3.89,1482082.0
Night,2470,"Wiesel, Elie",Banned Pending Investigation,nan,nan,"Wiesel, Marion",Texas,Katy Independent School District,January 2022,Administrator,3.89,1482082.0
Nikki & Deja (Nikki & Deja Series),614,"English, Karen",Banned in Classrooms,nan,"Freeman, Laura",nan,Pennsylvania,Central York School District,August 2021,Administrator,3.57,65619.0
Nineteen Minutes,1851,"Picoult, Jodi",Banned in Libraries,nan,nan,nan,Florida,Indian River County School District,November 2021,Administrator,4.16,371648.0
Nineteen Minutes,1852,"Picoult, Jodi",Banned in Libraries and Classrooms,nan,nan,nan,Florida,Jackson County School District,April 2022,Administrator,4.16,371648.0
Nineteen Minutes,1853,"Picoult, Jodi",Banned in Libraries,nan,nan,nan,Florida,Lee County Schools,May 2022,Administrator,4.16,371648.0
Nineteen Minutes,1854,"Picoult, Jodi",Banned in Libraries,nan,nan,nan,Florida,Polk County Public Schools,January 2022,Administrator,4.16,371648.0
Nineteen Minutes,1855,"Picoult, Jodi",Banned Pending Investigation,nan,nan,nan,Florida,Santa Rosa County District Schools,April 2022,Administrator,4.16,371648.0
Nineteen Minutes,1856,"Picoult, Jodi",Banned in Libraries and Classrooms,nan,nan,nan,Florida,St. Lucie Public Schools,January 2022,Formal Challenge,4.16,371648.0
Nineteen Minutes,1857,"Picoult, Jodi",Banned Pending Investigation,nan,nan,nan,Florida,Walton County School District,April 2022,Administrator,4.16,371648.0
Nineteen Minutes,1858,"Picoult, Jodi",Banned in Libraries and Classrooms,nan,nan,nan,Georgia,Forsyth County Schools,January 2022,Administrator,4.16,371648.0
Nineteen Minutes,1859,"Picoult, Jodi",Banned Pending Investigation,nan,nan,nan,Michigan,Gladwin Community Schools,May 2022,Administrator,4.16,371648.0
No Ashes in the Fire: Coming of Age Black and Free in America,1605,"Moore, Darnell L.",Banned Pending Investigation,nan,nan,nan,Tennessee,Collierville Schools,February 2022,Administrator,4.16,2675.0
"No Girls Allowed: Tales of Daring Women Dressed as Men for Love, Freedom and Adventure",993,"Hughes, Susan",Banned Pending Investigation,nan,"Dawson, Willow",nan,Texas,Granbury Independent School District,January 2022,Administrator,3.4,270.0
"No Girls Allowed: Tales of Daring Women Dressed as Men for Love, Freedom and Adventure",994,"Hughes, Susan",Banned Pending Investigation,nan,"Dawson, Willow",nan,Texas,North East Independent School District,December 2021,Administrator,3.4,270.0
No Mirrors in My Nana's House: Musical CD and Book,169,"Barnwell, Ysaye M.",Banned in Classrooms,nan,"Saint James, Synthia",nan,Pennsylvania,Central York School District,August 2021,Administrator,4.19,368.0
No One Knows About You,1599,"Montoya, Paco",Banned in Libraries,nan,nan,nan,Texas,Katy Independent School District,April 2022,Administrator,4.4,10.0
"No Way, They Were Gay?: Hidden Lives and Secret Loves",2485,"Wind, Lee",Banned Pending Investigation,nan,nan,nan,Tennessee,Collierville Schools,February 2022,Administrator,4.05,272.0
Noah Chases the Wind,2511,"Worthington, Michelle",Banned in Classrooms,nan,"Cowman, Joseph",nan,Pennsylvania,Central York School District,August 2021,Administrator,3.86,94.0
"Nonbinary Gender Identities: History, Culture, Resources",1526,"McNabb, Charlie",Banned in Libraries and Classrooms,nan,nan,nan,Tennessee,Collierville Schools,February 2022,Administrator,3.85,33.0
None of the Above,839,"Gregorio, I. W.",Banned in Classrooms,nan,nan,nan,Texas,Leander Independent School District,September 2021,Administrator,3.85,14039.0
None of the Above,840,"Gregorio, I. W.",Banned Pending Investigation,nan,nan,nan,Texas,North East Independent School District,December 2021,Administrator,3.85,14039.0
Normal People,1987,"Rooney, Sally",Banned Pending Investigation,nan,nan,nan,Florida,Brevard Public Schools,May 2022,Administrator,3.81,1397683.0
Normal People,1988,"Rooney, Sally",Banned Pending Investigation,nan,nan,nan,Florida,Walton County School District,April 2022,Administrator,3.81,1397683.0
"Not Light, but Fire: How to Lead Meaningful Race Conversations in the Classroom",1173,"Kay, Matthew R.",Banned in Classrooms,nan,nan,nan,Pennsylvania,Central York School District,August 2021,Administrator,4.49,918.0
Not My Problem,2198,"Smyth, Ciara",Banned Pending Investigation,nan,nan,nan,Florida,Brevard Public Schools,March 2022,Administrator,4.14,14553.0
Not My Problem,2199,"Smyth, Ciara",Banned Pending Investigation,nan,nan,nan,Tennessee,Collierville Schools,February 2022,Administrator,4.14,14553.0
Not Norman: A Goldfish Story,210,"Bennett, Kelly",Banned in Classrooms,nan,"Jones, Noah Z.",nan,Pennsylvania,Central York School District,August 2021,Administrator,4.07,1227.0
Not Quite Snow White,703,"Franklin, Ashley",Banned in Classrooms,nan,"Glenn, Ebony",nan,Pennsylvania,Central York School District,August 2021,Administrator,4.43,1498.0
Not So Pure and Simple,755,"Giles, Lamar",Banned Pending Investigation,nan,nan,nan,Tennessee,Collierville Schools,February 2022,Administrator,4.05,3745.0
Notes from the Blender,433,"Cook, Trish",Banned Pending Investigation,"Halpin, Brendan",nan,nan,Texas,Fredericksburg Independent School District,March 2022,Administrator,3.49,1518.0
Notes from the Blender,434,"Cook, Trish",Banned Pending Investigation,"Halpin, Brendan",nan,nan,Texas,Granbury Independent School District,January 2022,Administrator,3.49,1518.0
Notes from the Blender,435,"Cook, Trish",Banned Pending Investigation,"Halpin, Brendan",nan,nan,Texas,North East Independent School District,December 2021,Administrator,3.49,1518.0
Nothing Stopped Sophie: The Story of Unshakable Mathematician Sophie Germain,161,"Bardoe, Cheryl",Banned in Classrooms,nan,"McClintock, Barbara",nan,Pennsylvania,Central York School District,August 2021,Administrator,4.25,852.0
Nya's Long Walk: A Step at a Time,1780,"Park, Linda Sue",Banned Pending Investigation,nan,"Pinkney, Brian",nan,Florida,Duval County Public Schools,January 2022,Administrator,4.03,545.0
October Mourning: A Song for Matthew Shepard,1720,"Newman, Lesléa",Banned Pending Investigation,nan,nan,nan,Texas,North East Independent School District,December 2021,Administrator,4.19,4449.0
Odd One Out,2269,"Stone, Nic",Banned Pending Investigation,nan,nan,nan,Florida,Indian River County School District,November 2021,Administrator,3.68,6136.0
Odd One Out,2270,"Stone, Nic",Banned Pending Investigation,nan,nan,nan,Texas,Granbury Independent School District,January 2022,Administrator,3.68,6136.0
Odd One Out,2271,"Stone, Nic",Banned Pending Investigation,nan,nan,nan,Texas,North East Independent School District,December 2021,Administrator,3.68,6136.0
Of Fire and Stars (Of Fire and Stars Series),451,"Coulthurst, Audrey",Banned Pending Investigation,nan,nan,nan,Tennessee,Collierville Schools,February 2022,Administrator,4.75,4.0
Of Fire and Stars (Of Fire and Stars Series),452,"Coulthurst, Audrey",Banned Pending Investigation,nan,nan,nan,Texas,Granbury Independent School District,January 2022,Administrator,4.75,4.0
Of Fire and Stars (Of Fire and Stars Series),453,"Coulthurst, Audrey",Banned Pending Investigation,nan,nan,nan,Texas,North East Independent School District,December 2021,Administrator,4.75,4.0
Of Ice and Shadows (Of Fire and Stars Series),454,"Coulthurst, Audrey",Banned Pending Investigation,nan,nan,nan,Tennessee,Collierville Schools,February 2022,Administrator,3.79,3977.0
Of Ice and Shadows (Of Fire and Stars Series),455,"Coulthurst, Audrey",Banned Pending Investigation,nan,nan,nan,Texas,North East Independent School District,December 2021,Administrator,3.79,3977.0
Of Mice and Men,2242,"Steinbeck, John",Banned in Libraries,nan,nan,nan,Florida,Indian River County School District,November 2021,Administrator,3.88,2554393.0
Of Mice and Men,2243,"Steinbeck, John",Banned in Libraries and Classrooms,nan,nan,nan,Oklahoma,Bristow Public Schools,October 2021,Administrator,3.88,2554393.0
Of Mice and Men,2244,"Steinbeck, John",Banned in Classrooms,nan,nan,nan,Texas,Birdville Independent School District,October 2021,Formal Challenge,3.88,2554393.0
On Mother's Lap,2097,"Scott, Ann Herbert",Banned Pending Investigation,nan,"Coalson, Glo",nan,Florida,Duval County Public Schools,January 2022,Administrator,4.15,440.0
On a Sunbeam (On a Sunbeam Series),2421,"Walden, Tillie",Banned Pending Investigation,nan,nan,nan,Tennessee,Collierville Schools,February 2022,Administrator,3.87,47.0
"On the Bright Side, I'm Now the Girlfriend of a Sex God (Confessions of Georgia Nicolson #2)",1923,"Rennison, Louise",Banned Pending Investigation,nan,nan,nan,Michigan,Gladwin Community Schools,May 2022,Administrator,3.95,48133.0
On the Come Up,2336,"Thomas, Angie",Banned in Classrooms,nan,nan,nan,Pennsylvania,Central York School District,August 2021,Administrator,4.27,96293.0
On the Come Up,2337,"Thomas, Angie",Banned Pending Investigation,nan,nan,nan,Tennessee,Hamilton County Schools,October 2021,Administrator,4.27,96293.0
On the Other Side of Freedom: The Case for Hope,1517,"Mckesson, DeRay",Banned Pending Investigation,nan,nan,nan,Tennessee,Collierville Schools,February 2022,Administrator,4.17,2591.0
Once & Future,336,"Capetta, Amy Rose",Banned Pending Investigation,Cori McCarthy,nan,nan,Tennessee,Collierville Schools,February 2022,Administrator,4.07,303269.0
One Green Apple,311,"Bunting, Eve",Banned Pending Investigation,nan,"Lewin, Ted",nan,Florida,Duval County Public Schools,January 2022,Administrator,4.14,1571.0
One Green Apple,312,"Bunting, Eve",Banned in Classrooms,nan,"Lewin, Ted",nan,Pennsylvania,Central York School District,August 2021,Administrator,4.14,1571.0
One Half from the East,880,"Hashimi, Nadia",Banned Pending Investigation,nan,nan,nan,Texas,North East Independent School District,December 2021,Administrator,3.99,2459.0
One Hot Second: Stories About Desire,2522,"Young, Cathy",Banned Pending Investigation,"Armstrong, Jennifer; Wittlinger, Ellen; Woodson, Jacqueline; Dessen, Sarah; Donoghue, Emma; Garden, Nancy; Johnson, Angela; Martinez, Victor; Mazer, Norma Fox; Vail, Rachel; Wallace, Rich",nan,nan,Texas,Fredericksburg Independent School District,March 2022,Administrator,3.15,126.0
One Man Guy,160,"Barakiva, Michael",Banned Pending Investigation,nan,nan,nan,Texas,North East Independent School District,December 2021,Administrator,3.85,12645.0
One True Way,908,"Hitchcock, Shannon",Banned Pending Investigation,nan,nan,nan,Texas,North East Independent School District,December 2021,Administrator,3.88,1154.0
One of Those Hideous Books Where the Mother Dies,2208,"Sones, Sonya",Banned Pending Investigation,nan,nan,nan,Texas,Granbury Independent School District,January 2022,Administrator,3.95,8100.0
One of Those Hideous Books Where the Mother Dies,2209,"Sones, Sonya",Banned Pending Investigation,nan,nan,nan,Texas,North East Independent School District,December 2021,Administrator,3.95,8100.0
Ordinary Hazards,843,"Grimes, Nikki",Banned Pending Investigation,nan,nan,nan,Texas,Granbury Independent School District,January 2022,Administrator,4.4,3663.0
Ordinary Hazards,844,"Grimes, Nikki",Banned Pending Investigation,nan,nan,nan,Texas,North East Independent School District,December 2021,Administrator,4.4,3663.0
Orphea Proud,2514,"Wyeth, Sharon Dennis",Banned Pending Investigation,nan,nan,nan,Texas,North East Independent School District,December 2021,Administrator,3.62,76.0
Other Words for Home,2441,"Warga, Jasmine",Banned Pending Investigation,nan,nan,nan,Florida,Duval County Public Schools,January 2022,Administrator,4.43,30794.0
Our Class is a Family,1750,"Olsen, Shannon",Banned in Classrooms,nan,"Sonke, Sandie",nan,Pennsylvania,Central York School District,August 2021,Administrator,4.57,1336.0
Our Favorite African Adrinkra Symbols: A Coloring Book,2425,"Walker, Abena",Banned in Classrooms,nan,nan,nan,Pennsylvania,Central York School District,August 2021,Administrator,4.0,1.0
Our Skin: A First Conversation About Race,1459,"Madison, Megan",Banned in Libraries,"Ralli, Jessica","Roxas, Isabel",nan,New Jersey,Westfield Public Schools,September 2021,Formal Challenge,4.31,903.0
Out Now: Queer We Go Again!,1596,"Mitchell, Saundra",Banned Pending Investigation,nan,nan,nan,Tennessee,Collierville Schools,February 2022,Administrator,3.7,890.0
Out of Darkness,1805,"Perez, Ashley Hope",Banned in Libraries and Classrooms,nan,nan,nan,North Carolina,Moore County Schools,April 2022,Administrator,4.13,7628.0
Out of Darkness,1806,"Pérez, Ashley Hope",Banned Pending Investigation,nan,nan,nan,Florida,Brevard Public Schools,May 2022,Administrator,4.13,7628.0
Out of Darkness,1807,"Pérez, Ashley Hope",Banned Pending Investigation,nan,nan,nan,Florida,Indian River County School District,November 2021,Administrator,4.13,7628.0
Out of Darkness,1808,"Pérez, Ashley Hope",Banned Pending Investigation,nan,nan,nan,Florida,Osceola County School District,April 2022,Administrator,4.13,7628.0
Out of Darkness,1809,"Pérez, Ashley Hope",Banned in Libraries and Classrooms,nan,nan,nan,Georgia,Forsyth County Schools,January 2022,Administrator,4.13,7628.0
Out of Darkness,1810,"Pérez, Ashley Hope",Banned in Libraries and Classrooms,nan,nan,nan,Idaho,Nampa School District,May 2022,Administrator,4.13,7628.0
Out of Darkness,1811,"Pérez, Ashley Hope",Banned in Libraries and Classrooms,nan,nan,nan,Indiana,Hamilton Southeastern Schools,July 2021,Administrator,4.13,7628.0
Out of Darkness,1812,"Pérez, Ashley Hope",Banned in Libraries,nan,nan,nan,Indiana,Middlebury Community Schools,December 2021,Administrator,4.13,7628.0
Out of Darkness,1813,"Pérez, Ashley Hope",Banned Pending Investigation,nan,nan,nan,Kansas,Goddard Public Schools,November 2021,Administrator,4.13,7628.0
Out of Darkness,1814,"Pérez, Ashley Hope",Banned in Libraries,nan,nan,nan,Mississippi,Madison County Schools,April 2022,Administrator,4.13,7628.0
Out of Darkness,1815,"Pérez, Ashley Hope",Banned Pending Investigation,nan,nan,nan,New York,Yorktown Central School District,January 2022,Formal Challenge,4.13,7628.0
Out of Darkness,1816,"Pérez, Ashley Hope",Banned Pending Investigation,nan,nan,nan,Texas,Birdville Independent School District,October 2021,Formal Challenge,4.13,7628.0
Out of Darkness,1817,"Pérez, Ashley Hope",Banned in Classrooms,nan,nan,nan,Texas,Clear Creek Independent School District,April 2022,Administrator,4.13,7628.0
Out of Darkness,1818,"Pérez, Ashley Hope",Banned Pending Investigation,nan,nan,nan,Texas,Fredericksburg Independent School District,March 2022,Administrator,4.13,7628.0
Out of Darkness,1819,"Pérez, Ashley Hope",Banned in Libraries,nan,nan,nan,Texas,Granbury Independent School District,January 2022,Administrator,4.13,7628.0
Out of Darkness,1820,"Pérez, Ashley Hope",Banned in Libraries and Classrooms,nan,nan,nan,Texas,Katy Independent School District,February 2022,Administrator,4.13,7628.0
Out of Darkness,1821,"Pérez, Ashley Hope",Banned in Libraries,nan,nan,nan,Texas,Keller Independent School District,November 2021,Formal Challenge,4.13,7628.0
Out of Darkness,1822,"Pérez, Ashley Hope",Banned Pending Investigation,nan,nan,nan,Texas,Klein Independent School District,December 2021,Administrator,4.13,7628.0
Out of Darkness,1823,"Pérez, Ashley Hope",Banned in Libraries and Classrooms,nan,nan,nan,Texas,Lake Travis Independent School District,September 2021,Administrator,4.13,7628.0
Out of Darkness,1824,"Pérez, Ashley Hope",Banned in Classrooms,nan,nan,nan,Texas,Leander Independent School District,September 2021,Administrator,4.13,7628.0
Out of Darkness,1825,"Pérez, Ashley Hope",Banned Pending Investigation,nan,nan,nan,Utah,Canyons School District,October 2021,Administrator,4.13,7628.0
Out of Darkness,1826,"Pérez, Ashley Hope",Banned in Libraries and Classrooms,nan,nan,nan,Utah,Washington County School District,October 2021,Formal Challenge,4.13,7628.0
Out of Darkness,1827,"Pérez, Ashley Hope",Banned Pending Investigation,nan,nan,nan,Virginia,Henrico County Public Schools,October 2021,Administrator,4.13,7628.0
Out of Darkness,1828,"Pérez, Ashley Hope",Banned in Libraries,nan,nan,nan,Wisconsin,School District of Waukesha,December 2021,Administrator,4.13,7628.0
Out of the Easy,2124,"Sepetys, Ruta",Banned in Libraries and Classrooms,nan,nan,nan,Florida,Indian River County School District,November 2021,Administrator,4.04,64126.0
Outlander (Outlander Series),718,"Gabaldon, Diana",Banned Pending Investigation,nan,nan,nan,Florida,Walton County School District,April 2022,Administrator,4.71,9918.0
Panic,570,"Draper, Sharon M.",Banned in Libraries,nan,nan,nan,Texas,Cypress-Fairbanks Independent School District,January 2022,Administrator,3.69,52634.0
Panic,571,"Draper, Sharon M.",Banned in Libraries and Classrooms,nan,nan,nan,Texas,Keller Independent School District,November 2021,Formal Challenge,3.69,52634.0
Parachutes,2518,"Yang, Kelly",Banned in Classrooms,nan,nan,nan,Pennsylvania,Central York School District,August 2021,Administrator,4.2,11855.0
Parrotfish,2490,"Wittlinger, Ellen",Banned in Libraries,nan,nan,nan,Texas,North East Independent School District,December 2021,Administrator,3.69,5910.0
Patina (Track Series),1936,"Reynolds, Jason",Banned in Classrooms,nan,nan,nan,Pennsylvania,Central York School District,August 2021,Administrator,4.52,199.0
Peaceful Fights for Equal Rights,2062,"Sanders, Rob",Banned in Classrooms,nan,"Schorr, Jared Andrew",nan,Pennsylvania,Central York School District,August 2021,Administrator,4.18,393.0
Peanut Goes for the Gold,2394,"Van Ness, Jonathan",Banned in Classrooms,nan,"Reid, Gillian",nan,Pennsylvania,Central York School District,August 2021,Administrator,4.24,588.0
Pearl,1221,"Knowles, Jo",Banned Pending Investigation,nan,nan,nan,Texas,North East Independent School District,December 2021,Administrator,3.93,737803.0
Pedagogy of the Oppressed,711,"Freire, Paulo",Banned in Classrooms,nan,nan,nan,Pennsylvania,Central York School District,August 2021,Administrator,4.3,34606.0
Peeny Butter Fudge,1628,"Morrison, Toni",Banned in Classrooms,"Morrison, Slade","Cepeda, Joe",nan,Pennsylvania,Central York School District,August 2021,Administrator,3.84,383.0
"Pele, King of Soccer/Pele, El rey del futbol: Bilingual Spanish-English",291,"Brown, Monica",Banned in Classrooms,nan,"Gutierrez, Rudy",nan,Pennsylvania,Central York School District,August 2021,Administrator,4.09,176.0
People Kill People,943,"Hopkins, Ellen",Banned Pending Investigation,nan,nan,nan,Florida,Brevard Public Schools,May 2022,Administrator,3.87,6075.0
People Kill People,944,"Hopkins, Ellen",Banned in Libraries and Classrooms,nan,nan,nan,Texas,Prosper Independent School District,March 2022,Administrator,3.87,6075.0
Perfect (Impulse Series),945,"Hopkins, Ellen",Banned Pending Investigation,nan,nan,nan,Florida,Indian River County School District,November 2021,Administrator,5.0,2.0
Perfect (Impulse Series),946,"Hopkins, Ellen",Banned in Libraries and Classrooms,nan,nan,nan,Texas,Prosper Independent School District,March 2022,Administrator,5.0,2.0
Perfect Chemistry (Perfect Chemistry Series),600,"Elkeles, Simone",Banned in Libraries and Classrooms,nan,nan,nan,Florida,Indian River County School District,November 2021,Administrator,4.33,3.0
Perfect Chemistry (Perfect Chemistry Series),601,"Elkeles, Simone",Banned in Libraries,nan,nan,nan,Georgia,Cherokee County School District,January 2022,Formal Challenge,4.33,3.0
Perfect on Paper,794,"Gonzales, Sophie",Banned Pending Investigation,nan,nan,nan,Tennessee,Collierville Schools,February 2022,Administrator,3.99,32426.0
Perfectly Good White Boy,1560,"Mesrobian, Carrie",Banned Pending Investigation,nan,nan,nan,Texas,Fredericksburg Independent School District,March 2022,Administrator,3.63,518.0
Persepolis: The Story of a Childhood,2075,"Satrapi, Marjane",Banned Pending Investigation,nan,nan,nan,Pennsylvania,Franklin Regional School District,March 2022,Administrator,4.26,209095.0
Persepolis: The Story of a Childhood,2076,"Satrapi, Marjane",Banned in Libraries,nan,nan,nan,Texas,Katy Independent School District,January 2022,Administrator,4.26,209095.0
Pet,608,"Emezi, Akwaeke",Banned Pending Investigation,nan,nan,nan,Texas,North East Independent School District,December 2021,Administrator,4.06,593884.0
Peter Pan,170,"Barrie, James Matthew",Banned Pending Investigation,nan,nan,nan,Tennessee,Hamilton County Schools,October 2021,Administrator,4.04,348152.0
Phoenix Goes to School: A Story to Support Transgender and Gender Diverse Children,674,"Finch, Michelle",Banned Pending Investigation,"Finch, Phoenix","Davey, Sharon",nan,Indiana,Carmel Clay Schools,July 2021,Administrator,4.17,180.0
Piecing Me Together,2445,"Watson, Renée",Banned in Libraries,nan,nan,nan,Mississippi,Madison County Schools,April 2022,Administrator,4.09,25340.0
Pink,2473,"Wilkinson, Lili",Banned in Libraries,nan,nan,nan,Texas,North East Independent School District,December 2021,Administrator,3.95,118589.0
Pink Is for Boys,1797,"Pearlman, Robb",Banned Pending Investigation,nan,"Kaban, Eda",nan,Florida,Duval County Public Schools,January 2022,Administrator,4.03,1762.0
Pink Is for Boys,1798,"Pearlman, Robb",Banned in Classrooms,nan,"Kaban, Eda",nan,Pennsylvania,Central York School District,August 2021,Administrator,4.03,1762.0
Pink!,1957,"Rickards, Lynne",Banned Pending Investigation,nan,"Chamberlain, Margaret",nan,Florida,Duval County Public Schools,January 2022,Administrator,3.95,118589.0
Planet Omar: Accidental Trouble Magnet (Planet Omar Series),1567,"Mian, Zanib",Banned in Classrooms,nan,"Mafaridik, Nasaya",nan,Pennsylvania,Central York School District,August 2021,Administrator,4.89,9.0
Planet Omar: Incredible Rescue Mission (Planet Omar Series),1569,"Mian, Zanib",Banned in Classrooms,nan,"Mafaridik, Nasaya",nan,Pennsylvania,Central York School District,August 2021,Administrator,4.89,9.0
Planet Omar: Unexpected Super Spy (Planet Omar Series),1570,"Mian, Zanib",Banned in Classrooms,nan,"Mafaridik, Nasaya",nan,Pennsylvania,Central York School District,August 2021,Administrator,4.89,9.0
Playing a Part,2471,"Wilke, Daria",Banned Pending Investigation,nan,nan,"Schwartz, Marian",Texas,Granbury Independent School District,January 2022,Administrator,4.24,2095.0
Playing the Field,227,"Bildner, Phil",Banned in Libraries,nan,nan,nan,Texas,North East Independent School District,December 2021,Administrator,3.78,7027.0
Political Resistance in the Current Age,863,"Harris, Duchess",Banned Pending Investigation,"Turner, Myra Faye",nan,nan,Texas,Klein Independent School District,November 2021,Administrator,4.0,5.0
Pride: Celebrating Diversity & Community,2254,"Stevenson, Robin",Banned Pending Investigation,nan,nan,nan,Tennessee,Collierville Schools,February 2022,Administrator,4.18,260.0
Pride: Celebrating Diversity & Community,2255,"Stevenson, Robin",Banned Pending Investigation,nan,nan,nan,Texas,North East Independent School District,December 2021,Administrator,4.18,260.0
Pride: The Story of Harvey Milk and the Rainbow Flag,2063,"Sanders, Rob",Banned Pending Investigation,nan,"Salerno, Steven",nan,Florida,Duval County Public Schools,January 2022,Administrator,4.33,1812.0
Pride: The Story of Harvey Milk and the Rainbow Flag,2064,"Sanders, Rob",Banned in Libraries,nan,nan,nan,Idaho,Bonneville Joint School District No 93,April 2022,Formal Challenge,4.33,1812.0
Pride: The Story of Harvey Milk and the Rainbow Flag,2065,"Sanders, Rob",Banned in Classrooms,nan,"Salerno, Steven",nan,Pennsylvania,Central York School District,August 2021,Administrator,4.33,1812.0
Pride: The Story of Harvey Milk and the Rainbow Flag,2066,"Sanders, Rob",Banned Pending Investigation,nan,"Salerno, Steven",nan,Texas,North East Independent School District,December 2021,Administrator,4.33,1812.0
Pride: The Story of Harvey Milk and the Rainbow Flag,2067,"Sanders, Rob",Banned in Libraries,nan,nan,nan,Wisconsin,School District of Cadott Community,March 2022,Formal Challenge,4.33,1812.0
Prince & Knight (Prince & Knight Series),854,"Haack, Daniel",Banned in Classrooms,nan,"Lewis, Stevie",nan,Pennsylvania,Central York School District,August 2021,Administrator,4.58,3285177.0
Princess Princess Ever After,1745,"O'Neill, Kay",Banned in Libraries,nan,nan,nan,Texas,Katy Independent School District,January 2022,Administrator,3.98,20949.0
Promoting Racial Literacy in Schools: Differences That Make a Difference,2250,"Stevenson, Howard C.",Banned in Classrooms,nan,nan,nan,Pennsylvania,Central York School District,August 2021,Administrator,4.0,48.0
Protect and Defend (Kerry Kilcannon Series),1791,"Patterson, Richard North",Banned Pending Investigation,nan,nan,nan,Texas,North East Independent School District,December 2021,Administrator,4.04,4389.0
Protest Movements: Then and Now,268,"Braun, Eric",Banned in Libraries and Classrooms,nan,nan,nan,Wisconsin,School District of Cadott Community,March 2022,Formal Challenge,3.55,11.0
Proud: Living My American Dream (Young Readers Edition),1659,"Muhammad, Ibtihaj",Banned Pending Investigation,nan,nan,nan,Florida,Duval County Public Schools,January 2022,Administrator,4.34,617.0
Proxy (Proxy Series),1398,"London, Alex",Banned Pending Investigation,nan,nan,nan,Texas,Granbury Independent School District,January 2022,Administrator,4.35,127.0
Proxy (Proxy Series),1399,"London, Alex",Banned Pending Investigation,nan,nan,nan,Texas,North East Independent School District,December 2021,Administrator,4.35,127.0
Pulp,2287,"Talley, Robin",Banned Pending Investigation,nan,nan,nan,Tennessee,Collierville Schools,February 2022,Administrator,3.67,39613.0
Push,2073,Sapphire,Banned Pending Investigation,nan,nan,nan,Florida,Brevard Public Schools,March 2022,Administrator,4.06,341008.0
