StateFIPS,State,Year,Value,Data Comment,,Gender
12,Florida,2004,10.5,,,Female
12,Florida,2005,41.2,,,Male
12,Florida,2005,9.4,,,Female
12,Florida,2006,39.5,,,Male
12,Florida,2006,9.2,,,Female
12,Florida,2007,39.1,,,Male
12,Florida,2007,9.6,,,Female
12,Florida,2008,39,,,Male
12,Florida,2008,9.1,,,Female
12,Florida,2009,38.7,,,Male
12,Florida,2009,9.2,,,Female
12,Florida,2010,37.6,,,Male
12,Florida,2010,8.6,,,Female
12,Florida,2011,36.5,,,Male
12,Florida,2011,9.1,,,Female
12,Florida,2012,36.7,,,Male
12,Florida,2012,8.4,,,Female
12,Florida,2013,38.7,,,Male
12,Florida,2013,9.6,,,Female
12,Florida,2014,38.5,,,Male
12,Florida,2014,10.1,,,Female
12,Florida,2015,36.9,,,Male
12,Florida,2015,9.3,,,Female
12,Florida,2016,34.9,,,Male
12,Florida,2016,8.8,,,Female
12,Florida,2017,31.7,,,Male
12,Florida,2017,8.5,,,Female
12,Florida,2018,30.6,,,Male
12,Florida,2018,7.9,,,Female
12,Florida,2019,31.2,,,Male
12,Florida,2019,7.8,,,Female
12,Florida,2020,27.4,,,Male
12,Florida,2020,6.8,,,Female
13,Georgia,2001,34.3,,,Male
13,Georgia,2001,7.9,,,Female
13,Georgia,2002,33.7,,,Male
13,Georgia,2002,8.2,,,Female
13,Georgia,2003,34.4,,,Male
13,Georgia,2003,8.2,,,Female
13,Georgia,2004,35.6,,,Male
13,Georgia,2004,8.6,,,Female
13,Georgia,2005,33.4,,,Male
13,Georgia,2005,9,,,Female
13,Georgia,2006,32.6,,,Male
13,Georgia,2006,7.5,,,Female
13,Georgia,2007,35.1,,,Male
13,Georgia,2007,7.9,,,Female
13,Georgia,2008,33.9,,,Male
13,Georgia,2008,8.4,,,Female
13,Georgia,2009,34.9,,,Male
13,Georgia,2009,7.7,,,Female
13,Georgia,2010,36.6,,,Male
13,Georgia,2010,8.4,,,Female
13,Georgia,2011,32.9,,,Male
13,Georgia,2011,7.5,,,Female
13,Georgia,2012,33.9,,,Male
13,Georgia,2012,8.3,,,Female
13,Georgia,2013,32.7,,,Male
13,Georgia,2013,7.1,,,Female
13,Georgia,2014,32.6,,,Male
13,Georgia,2014,8.1,,,Female
13,Georgia,2015,33.2,,,Male
13,Georgia,2015,8,,,Female
13,Georgia,2016,33.1,,,Male
13,Georgia,2016,7.7,,,Female
13,Georgia,2017,32.9,,,Male
13,Georgia,2017,7.6,,,Female
13,Georgia,2018,33,,,Male
13,Georgia,2018,7.4,,,Female
13,Georgia,2019,31.5,,,Male
13,Georgia,2019,7.5,,,Female
13,Georgia,2020,28.6,,,Male
13,Georgia,2020,7.3,,,Female
15,Hawaii,2001,22.8,,,Male
15,Hawaii,2001,5.1,,,Female
15,Hawaii,2002,27.2,,,Male
15,Hawaii,2002,4.2,,,Female
15,Hawaii,2003,24.8,,,Male
15,Hawaii,2003,7,,,Female
15,Hawaii,2004,26.6,,,Male
15,Hawaii,2004,7.1,,,Female
15,Hawaii,2005,25,,,Male
15,Hawaii,2005,7.6,,,Female
15,Hawaii,2006,28.4,,,Male
15,Hawaii,2006,5.6,,,Female
15,Hawaii,2007,25.4,,,Male
15,Hawaii,2007,5.8,,,Female
15,Hawaii,2008,25.6,,,Male
15,Hawaii,2008,6.3,,,Female
15,Hawaii,2009,26.3,,,Male
15,Hawaii,2009,7.1,,,Female
15,Hawaii,2010,25.7,,,Male
15,Hawaii,2010,6.4,,,Female
15,Hawaii,2011,21.5,,,Male
15,Hawaii,2011,4.9,,,Female
15,Hawaii,2012,22.4,,,Male
15,Hawaii,2012,5.8,,,Female
15,Hawaii,2013,21.6,,,Male
15,Hawaii,2013,6.2,,,Female
15,Hawaii,2014,27.3,,,Male
15,Hawaii,2014,5.2,,,Female
15,Hawaii,2015,24.8,,,Male
15,Hawaii,2015,6.4,,,Female
15,Hawaii,2016,23.5,,,Male
15,Hawaii,2016,4.4,,,Female
15,Hawaii,2017,27,,,Male
15,Hawaii,2017,4.8,,,Female
15,Hawaii,2018,22.5,,,Male
15,Hawaii,2018,5.3,,,Female
15,Hawaii,2019,23.1,,,Male
15,Hawaii,2019,5.3,,,Female
15,Hawaii,2020,23.1,,,Male
15,Hawaii,2020,5.1,,,Female
16,Idaho,2001,38.9,,,Male
16,Idaho,2001,9,,,Female
16,Idaho,2002,42,,,Male
16,Idaho,2002,7.3,,,Female
16,Idaho,2003,36.5,,,Male
16,Idaho,2003,7.3,,,Female
16,Idaho,2004,36.3,,,Male
16,Idaho,2004,10.6,,,Female
16,Idaho,2005,43.8,,,Male
16,Idaho,2005,9.1,,,Female
16,Idaho,2006,37,,,Male
16,Idaho,2006,9.6,,,Female
16,Idaho,2007,37.4,,,Male
16,Idaho,2007,8.3,,,Female
16,Idaho,2008,41.5,,,Male
16,Idaho,2008,8.9,,,Female
16,Idaho,2009,39.1,,,Male
